"product","sub_product","issue","sub_issue","consumer_complaint_narrative","company_public_response","company","state","tags","consumer_consent_provided","submitted_via","date_sent_to_company","company_response_to_consumer","timely_response","consumer_disputed."
"Credit reporting","Blank","Incorrect information on credit report","Personal information","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","IL","Blank","Blank","Postal mail","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Reinserted previously deleted info","Blank","Blank","Equifax","GA","Blank","Consent not provided","Web","02","Closed with explanation","Yes","Yes"
"Consumer Loan","Vehicle loan","Problems when you are unable to pay","Blank","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Wells Fargo & Company","IL","Blank","Consent provided","Web","02","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Yes","Blank","Equifax","WA","Blank","Consent provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Credit monitoring or identity protection","Problem with fraud alerts","Blank","Blank","Equifax","NY","Blank","Blank","Postal mail","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","FL","Blank","Consent provided","Web","03","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Unable to get credit report/credit score","Problem getting my free annual report","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","CA","Blank","Consent provided","Web","03","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Personal information","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","FL","Blank","Consent not provided","Web","03","Closed with explanation","Yes","No"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Citibank","NV","Blank","Consent not provided","Web","02","Closed with non-monetary relief","Yes","Yes"
"Debt collection","Credit card","Cont'd attempts collect debt not owed","Debt is not mine","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Citibank","NJ","Blank","Consent provided","Web","02","Closed with explanation","Yes","No"
"Mortgage","Conventional fixed mortgage","Application, originator, mortgage broker","Blank","Blank","Company believes the complaint is the result of a misunderstanding","Ditech Financial LLC","AL","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Reinserted previously deleted info","Blank","Blank","Equifax","IL","Blank","Blank","Web","03","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Bank of America","CA","Blank","Consent provided","Web","02","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Personal information","Blank","Blank","Equifax","CO","Blank","Blank","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Credit reporting company's investigation","Problem with statement of dispute","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","FL","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Debt collection","I do not know","Disclosure verification of debt","Not given enough info to verify debt","Yes","Blank","Portfolio Recovery Associates, Inc.","WA","Blank","Consent provided","Web","01","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Improper use of my credit report","Report improperly shared by CRC","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","IL","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","KY","Blank","Blank","Referral","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Credit monitoring or identity protection","Problem with fraud alerts","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","MD","Older American","Blank","Fax","01","Closed with non-monetary relief","Yes","No"
"Bank account or service","Checking account","Deposits and withdrawals","Blank","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Wells Fargo & Company","CA","Blank","Consent not provided","Web","02","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","FL","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Blank","Blank","Citibank","TX","Blank","Blank","Web","03","Closed with explanation","Yes","No"
"Credit card","Blank","Identity theft / Fraud / Embezzlement","Blank","Yes","Company chooses not to provide a public response","Bank of America","CA","Blank","Consent provided","Web","02","Closed with explanation","Yes","Yes"
"Bank account or service","Checking account","Problems caused by my funds being low","Blank","Blank","Blank","JPMorgan Chase & Co.","CO","Blank","Blank","Referral","01","Closed with explanation","Yes","No"
"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Blank","Blank","Blank","JPMorgan Chase & Co.","CA","Blank","Blank","Referral","01","Closed with explanation","Yes","No"
"Mortgage","Home equity loan or line of credit","Loan servicing, payments, escrow account","Blank","Yes","Blank","JPMorgan Chase & Co.","FL","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Blank","Company believes it acted appropriately as authorized by contract or law","Ditech Financial LLC","IL","Blank","Consent not provided","Web","02","Closed with explanation","Yes","No"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Blank","Company believes it acted appropriately as authorized by contract or law","Select Portfolio Servicing, Inc","FL","Blank","Consent not provided","Web","02","Closed with explanation","Yes","No"
"Debt collection","Credit card","Cont'd attempts collect debt not owed","Debt resulted from identity theft","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Wells Fargo & Company","CA","Blank","Consent provided","Web","02","Closed with explanation","No","No"
"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Blank","Blank","Company chooses not to provide a public response","Bank of America","CA","Blank","Blank","Referral","01","Closed with explanation","Yes","No"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Yes","Blank","Nationstar Mortgage","NM","Older American","Consent provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","FL","Blank","Consent not provided","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","MA","Blank","Consent not provided","Web","02","Closed with explanation","Yes","No"
"Bank account or service","Checking account","Problems caused by my funds being low","Blank","Blank","Blank","JPMorgan Chase & Co.","FL","Blank","Consent not provided","Web","02","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Company chooses not to provide a public response","Experian","CA","Blank","Consent not provided","Web","01","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Public record","Blank","Blank","Equifax","TN","Blank","Blank","Web","03","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Personal information","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","IN","Older American","Consent provided","Web","03","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","PA","Blank","Blank","Referral","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Yes","Blank","Equifax","GA","Blank","Consent provided","Web","02","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Public record","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","IN","Servicemember","Consent provided","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","IA","Blank","Consent not provided","Web","03","Closed with explanation","Yes","No"
"Debt collection","Credit card","Disclosure verification of debt","Not given enough info to verify debt","Blank","Blank","Encore Capital Group","VA","Blank","Blank","Web","03","Closed with non-monetary relief","Yes","No"
"Mortgage","Home equity loan or line of credit","Loan servicing, payments, escrow account","Blank","Blank","Blank","Nationstar Mortgage","TX","Blank","Blank","Web","03","Closed with explanation","Yes","Yes"
"Bank account or service","Other bank product/service","Account opening, closing, or management","Blank","Blank","Blank","JPMorgan Chase & Co.","NJ","Blank","Blank","Referral","01","Closed with explanation","Yes","No"
"Credit card","Blank","Billing disputes","Blank","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Citibank","TX","Blank","Consent provided","Web","02","Closed with monetary relief","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","IN","Servicemember","Consent provided","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Unable to get credit report/credit score","Problem getting my free annual report","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","IL","Servicemember","Consent provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Credit reporting company's investigation","No notice of investigation status/result","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","AL","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Blank","Equifax","TX","Blank","Blank","Phone","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Unable to get credit report/credit score","Problem getting report or credit score","Blank","Blank","Equifax","CO","Blank","Blank","Postal mail","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Credit reporting company's investigation","Inadequate help over the phone","Blank","Blank","Equifax","AZ","Blank","Blank","Postal mail","01","Closed with explanation","Yes","No"
"Mortgage","Home equity loan or line of credit","Loan servicing, payments, escrow account","Blank","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Bank of America","FL","Blank","Blank","Phone","02","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Unable to get credit report/credit score","Problem getting report or credit score","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","NY","Blank","Consent provided","Web","03","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","CA","Blank","Consent not provided","Web","01","Closed with non-monetary relief","Yes","No"
"Bank account or service","Checking account","Deposits and withdrawals","Blank","Yes","Company chooses not to provide a public response","U.S. Bancorp","WA","Blank","Consent provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Yes","Blank","Equifax","WA","Blank","Consent provided","Web","02","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","FL","Older American","Blank","Referral","02","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","OH","Blank","Blank","Postal mail","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","VA","Blank","Consent not provided","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Company chooses not to provide a public response","Experian","CA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","CA","Servicemember","Consent provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Unable to get credit report/credit score","Problem getting report or credit score","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","TX","Servicemember","Other","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Blank","Equifax","OK","Blank","Blank","Postal mail","02","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account terms","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","CA","Blank","Consent not provided","Web","01","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","FL","Blank","Consent not provided","Web","02","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","FL","Blank","Blank","Postal mail","03","Closed with explanation","Yes","No"
"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Blank","Yes","Company believes it acted appropriately as authorized by contract or law","Ditech Financial LLC","PA","Older American","Consent provided","Web","02","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Credit monitoring or identity protection","Account terms and changes","Blank","Blank","Equifax","MO","Servicemember","Blank","Postal mail","01","Closed with explanation","Yes","No"
"Consumer Loan","Vehicle lease","Managing the loan or lease","Blank","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","U.S. Bancorp","FL","Blank","Blank","Postal mail","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","MA","Blank","Blank","Postal mail","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Personal information","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","TX","Blank","Consent provided","Web","02","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Credit reporting company's investigation","Problem with statement of dispute","Yes","Company chooses not to provide a public response","Experian","SC","Blank","Consent provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account terms","Yes","Blank","Equifax","CA","Blank","Consent provided","Web","01","Closed with explanation","Yes","No"
"Bank account or service","Checking account","Using a debit or ATM card","Blank","Blank","Blank","JPMorgan Chase & Co.","GA","Blank","Blank","Web","03","Closed with monetary relief","Yes","No"
"Bank account or service","Checking account","Deposits and withdrawals","Blank","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Wells Fargo & Company","WI","Blank","Consent not provided","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account terms","Yes","Blank","Equifax","FL","Blank","Consent provided","Web","02","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","IN","Blank","Other","Web","02","Closed with explanation","Yes","No"
"Mortgage","Other mortgage","Settlement process and costs","Blank","Blank","Company chooses not to provide a public response","Bank of America","CA","Blank","Other","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","FL","Blank","Consent provided","Web","01","Closed with explanation","Yes","No"
"Debt collection","Credit card","Cont'd attempts collect debt not owed","Debt is not mine","Blank","Blank","Portfolio Recovery Associates, Inc.","TN","Blank","Blank","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Credit reporting company's investigation","Investigation took too long","Yes","Company chooses not to provide a public response","Experian","WA","Blank","Consent provided","Web","01","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Public record","Blank","Blank","Equifax","CA","Blank","Blank","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","PR","Blank","Consent provided","Web","02","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Public record","Blank","Blank","Equifax","FL","Older American","Consent not provided","Web","02","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","TN","Older American","Blank","Postal mail","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","NY","Blank","Blank","Postal mail","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Public record","Blank","Blank","Equifax","MD","Blank","Consent not provided","Web","02","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","FL","Blank","Blank","Postal mail","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Unable to get credit report/credit score","Problem getting my free annual report","Blank","Blank","Equifax","PA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Credit reporting company's investigation","Problem with statement of dispute","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","TX","Blank","Blank","Phone","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Blank","Equifax","NJ","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Blank","Equifax","PA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","CA","Blank","Blank","Referral","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Credit monitoring or identity protection","Problem with fraud alerts","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","CA","Older American","Blank","Phone","03","Closed with non-monetary relief","Yes","No"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Blank","Blank","JPMorgan Chase & Co.","OH","Blank","Blank","Phone","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","FL","Blank","Blank","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","NJ","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Consumer Loan","Vehicle loan","Taking out the loan or lease","Blank","Blank","Blank","JPMorgan Chase & Co.","TX","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","FL","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Bank account or service","Checking account","Deposits and withdrawals","Blank","Blank","Company chooses not to provide a public response","Wells Fargo & Company","GA","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","TX","Blank","Blank","Web","03","Closed with explanation","Yes","No"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Blank","Blank","JPMorgan Chase & Co.","NJ","Blank","Blank","Web","02","Closed with explanation","Yes","No"
"Credit card","Blank","Late fee","Blank","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Citibank","NY","Blank","Consent provided","Web","03","Closed with monetary relief","Yes","No"
"Debt collection","Other (i.e. phone, health club, etc.)","Improper contact or sharing of info","Talked to a third party about my debt","Blank","Blank","Encore Capital Group","GA","Servicemember","Blank","Web","03","Closed with explanation","Yes","Yes"
"Mortgage","Home equity loan or line of credit","Loan servicing, payments, escrow account","Blank","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Wells Fargo & Company","VA","Blank","Blank","Referral","02","Closed with explanation","Yes","No"
"Bank account or service","Checking account","Deposits and withdrawals","Blank","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Bank of America","GA","Blank","Consent provided","Web","03","Closed with monetary relief","Yes","Yes"
"Mortgage","Other mortgage","Credit decision / Underwriting","Blank","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Citibank","NJ","Blank","Consent provided","Web","02","Closed with non-monetary relief","Yes","No"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Blank","Blank","Ocwen","SC","Blank","Blank","Web","02","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","IA","Blank","Blank","Phone","03","Closed with explanation","Yes","No"
"Debt collection","Credit card","Cont'd attempts collect debt not owed","Debt is not mine","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Wells Fargo & Company","TN","Blank","Consent not provided","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Credit monitoring or identity protection","Problem cancelling or closing account","Blank","Blank","Equifax","NV","Blank","Blank","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Public record","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","ID","Blank","Consent not provided","Web","03","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","FL","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","MA","Blank","Consent provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Credit reporting company's investigation","Problem with statement of dispute","Blank","Blank","Equifax","NV","Older American","Blank","Postal mail","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Credit monitoring or identity protection","Problem with fraud alerts","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","FL","Blank","Blank","Postal mail","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Improper use of my credit report","Report improperly shared by CRC","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","CA","Blank","Consent provided","Web","03","Closed with explanation","Yes","No"
"Credit card","Blank","Customer service / Customer relations","Blank","Blank","Blank","Amex","CA","Blank","Blank","Web","03","Closed with explanation","Yes","Yes"
"Debt collection","I do not know","Cont'd attempts collect debt not owed","Debt is not mine","Blank","Blank","Portfolio Recovery Associates, Inc.","TX","Servicemember","Blank","Web","03","Closed with explanation","Yes","No"
"Debt collection","Credit card","Communication tactics","Frequent or repeated calls","Blank","Blank","Portfolio Recovery Associates, Inc.","OH","Older American","Blank","Web","03","Closed with non-monetary relief","Yes","No"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Blank","Blank","Nationstar Mortgage","FL","Blank","Blank","Referral","01","Closed","Yes","No"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Blank","Blank","Nationstar Mortgage","FL","Blank","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Personal information","Blank","Blank","Equifax","TX","Older American","Consent not provided","Web","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Blank","Equifax","TX","Blank","Blank","Web","03","Closed with explanation","Yes","No"
"Student loan","Non-federal student loan","Can't repay my loan","Can't decrease my monthly payments","Blank","Blank","Navient Solutions, Inc.","VA","Servicemember","Blank","Web","03","In progress","Yes","No"
"Credit reporting","Blank","Credit reporting company's investigation","No notice of investigation status/result","Yes","Company chooses not to provide a public response","Experian","TX","Blank","Consent provided","Web","01","Closed with explanation","Yes","No"
"Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt is not mine","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Wells Fargo & Company","IL","Blank","Blank","Referral","03","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","CT","Blank","Blank","Fax","01","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","CA","Blank","Consent not provided","Web","03","Closed with explanation","Yes","No"
"Bank account or service","Checking account","Account opening, closing, or management","Blank","Blank","Blank","JPMorgan Chase & Co.","NY","Older American","Blank","Phone","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","MN","Blank","Blank","Web","03","Closed with explanation","Yes","No"
"Credit card","Blank","Late fee","Blank","Yes","Blank","Synchrony Financial","IL","Older American","Consent provided","Web","01","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","CA","Blank","Consent not provided","Web","03","Closed with explanation","Yes","No"
"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Blank","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Wells Fargo & Company","KY","Blank","Blank","Referral","02","Closed with non-monetary relief","Yes","No"
"Bank account or service","Other bank product/service","Deposits and withdrawals","Blank","Blank","Blank","Capital One","NY","Blank","Blank","Postal mail","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","NY","Blank","Blank","Postal mail","02","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","SC","Blank","Consent not provided","Web","03","Closed with explanation","Yes","No"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Blank","Blank","Ocwen","TX","Blank","Blank","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","NY","Blank","Consent not provided","Web","03","Closed with explanation","Yes","No"
"Bank account or service","Other bank product/service","Account opening, closing, or management","Blank","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Wells Fargo & Company","CA","Blank","Consent provided","Web","03","Closed with explanation","Yes","No"
"Credit card","Blank","Other fee","Blank","Blank","Blank","JPMorgan Chase & Co.","AZ","Older American","Blank","Web","02","Closed with explanation","Yes","No"
"Credit card","Blank","Other","Blank","Blank","Blank","Capital One","FL","Older American","Blank","Web","03","Closed with explanation","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company has responded to the consumer and the CFPB and chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","OH","Blank","Blank","Postal mail","03","Closed with explanation","Yes","No"
"Debt collection","I do not know","Communication tactics","Frequent or repeated calls","Blank","Blank","Portfolio Recovery Associates, Inc.","TX","Blank","Blank","Web","03","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","NJ","Blank","Blank","Postal mail","02","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Unable to get credit report/credit score","Problem getting my free annual report","Yes","Company has responded to the consumer and the CFPB and chooses not to provide a public response","Experian","NJ","Blank","Consent provided","Web","03","Closed with non-monetary relief","Yes","No"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","WI","Blank","Blank","Web","03","Closed with non-monetary relief","Yes","No"
"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Blank","Blank","Company chooses not to provide a public response","Bank of America","LA","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
